Bereich;Kategorie;Entgeltschluessel;Geb.Nr.;Minuten;Verguetung_EUR;Leistungsbeschreibung
Erwachsenenpsychiatrie;Ärztliche Leistungen;35210100;100;;9,32;Qualifizierte Arzneimittelverordnung ohne ärztlichen Patientenkontakt (Abrechnungsregeln: am Tag einer ärztlichen Leistungserbringung oder am Folgetag nicht abrechenbar; ohne weitere ärztliche Leistungserbringung im Quartal nicht an zwei aufeinanderfolgenden Quartalen abrechenbar; nur abrechenbar bei Erfüllung der Dokumentationsanforderungen gemäß Anlage 4 Punkt 2.1.12)
Erwachsenenpsychiatrie;Ärztliche Leistungen;35210110;110;10;16,07;Ärztliche Leistungen bis 10 Minuten für Leistungen der sozialpsychiatrischen Grundversorgung, Krisenintervention einschl. amb. Notfallbehandlung, spezifische Einzelbehandlung/Betreuung, Psychodiagnostik
Erwachsenenpsychiatrie;Ärztliche Leistungen;35210111;111;20;32,22;Ärztliche Leistungen bis 20 Minuten wie oben
Erwachsenenpsychiatrie;Ärztliche Leistungen;35210112;112;40;64,45;Ärztliche Leistungen bis 40 Minuten wie oben
Erwachsenenpsychiatrie;Ärztliche Leistungen;35210113;113;60;96,66;Ärztliche Leistungen bis 60 Minuten wie oben
Erwachsenenpsychiatrie;Ärztliche Leistungen;35210114;114;90;144,99;Ärztliche Leistungen bis 90 Minuten wie oben, ohne Videosprechstunde (nur mit entsprechender Begründung sind längere Zeiten abrechenbar); die Abrechnung längerer Behandlungszeiten erfolgt mittels Geb.Nr. 110 – nur in Verbindung mit Geb.Nr. 114 ist eine Mehrfachabrechnung der Geb.Nr. 110 möglich
Erwachsenenpsychiatrie;Ärztliche Leistungen;35210130;130;10;16,07;Ärztliche Leistungen bis 10 Minuten für Leistungen im Rahmen Videosprechstunde
Erwachsenenpsychiatrie;Ärztliche Leistungen;35210131;131;20;32,22;Ärztliche Leistungen bis 20 Minuten für Leistungen im Rahmen Videosprechstunde
Erwachsenenpsychiatrie;Ärztliche Leistungen;35210132;132;40;64,45;Ärztliche Leistungen bis 40 Minuten für Leistungen im Rahmen Videosprechstunde
Erwachsenenpsychiatrie;Ärztliche Leistungen;35210133;133;60;96,66;Ärztliche Leistungen bis 60 Minuten für Leistungen im Rahmen Videosprechstunde
Erwachsenenpsychiatrie;Ärztliche Leistungen;35210134;134;90;144,99;Ärztliche Leistungen bis 90 Minuten für Leistungen im Rahmen Videosprechstunde
Erwachsenenpsychiatrie;Ärztliche Leistungen;35210143;143;60;27,62;Ärztliche Leistungen bis 60 Minuten für eine spezifische Behandlung/Betreuung in der Kleingruppe (bis zu fünf Patienten)
Erwachsenenpsychiatrie;Ärztliche Leistungen;35210144;144;90;41,41;Ärztliche Leistungen bis 90 Minuten wie oben (Kleingruppe)
Erwachsenenpsychiatrie;Ärztliche Leistungen;35210145;145;120;55,26;Ärztliche Leistungen bis 120 Minuten wie oben (Kleingruppe)
Erwachsenenpsychiatrie;Ärztliche Leistungen;35210153;153;60;13,79;Ärztliche Leistungen bis 60 Minuten für eine spezifische Behandlung/Betreuung in der Großgruppe (mehr als fünf Patienten, höchstens 12 Patienten)
Erwachsenenpsychiatrie;Ärztliche Leistungen;35210154;154;90;20,70;Ärztliche Leistungen bis 90 Minuten wie oben (Großgruppe)
Erwachsenenpsychiatrie;Ärztliche Leistungen;35210155;155;120;27,62;Ärztliche Leistungen bis 120 Minuten wie oben (Großgruppe)
Erwachsenenpsychiatrie;Ärztliche Leistungen;35210160;160;10;16,07;Fahrtzeit dazu bis 10 Minuten
Erwachsenenpsychiatrie;Ärztliche Leistungen;35210161;161;20;32,22;Fahrtzeit dazu bis 20 Minuten
Erwachsenenpsychiatrie;Ärztliche Leistungen;35210162;162;40;64,45;Fahrtzeit dazu bis 40 Minuten
Erwachsenenpsychiatrie;Ärztliche Leistungen;35210163;163;60;96,66;Fahrtzeit dazu bis 60 Minuten
Erwachsenenpsychiatrie;Ärztliche Leistungen;35210164;164;90;144,99;Fahrtzeit dazu bis 90 Minuten
Erwachsenenpsychiatrie;Ärztliche Leistungen;35210170;170;;14,22;Grundpauschale für Laborleistungen je Fall und Quartal (für EKG, EEG, Labor)
Erwachsenenpsychiatrie;Ärztliche Leistungen;35210171;171;;27,60;Medikamentenspiegelung (je Untersuchungsgang) alle Spiegelbestimmungen unter Angabe der Substanz(en) oder Substanzgruppe(n), zusätzlich zur Geb.Nr. 170 und ggf. mehrfach pro Quartal abrechenbar; sofern die Leistung nicht im eigenen Labor durchgeführt wird, ist die Überweisung an ein externes Labor möglich
Erwachsenenpsychiatrie;Ärztliche Leistungen;35210172;172;;4,88;Qualitative Stäbchentests (Suchtests) je Substanz/Substanzgruppe: Amphetamine, Barbiturate, Benzodiazepine, Cannabinoide, Kokain, Methadon, Opiate, u.a. Je Parameter nur bei substituierten Patienten zusätzlich zu Geb.Nr. 170 abrechenbar
Erwachsenenpsychiatrie;Ärztliche Leistungen;35210173;173;;12,91;Quantitative und semiquantitative Bestimmungen (je Untersuchung): Amphetamine, Barbiturate, Benzodiazepine, Cannabinoide, Kokain, Methadon, Opiate, u.a. Ggf. mehrfach pro Quartal nur bei substituierten Patienten zusätzlich zu Geb.Nr. 170, 171 und 172 abrechenbar, jedoch nur bis zu dreimal bei Untersuchungen aus demselben Körpermaterial; Höchstwert 38,73 EUR; sofern die Leistung nicht im eigenen Labor durchgeführt wird, ist die Überweisung an ein externes Labor möglich
Erwachsenenpsychiatrie;Ärztliche Leistungen;35210180;180;;179,09;CT-Einzelleistung
Erwachsenenpsychiatrie;Ärztliche Leistungen;35210190;190;;473,80;NMR-Einzelleistung
Erwachsenenpsychiatrie;Leistungen von Psychologen;35210210;210;10;13,89;Leistungen von Psychologen bis 10 Minuten für Leistungen der sozialpsychiatrischen Grundversorgung, Krisenintervention einschl. Notfallbehandlung, spezifische Einzelbehandlung/Betreuung, Psychodiagnostik
Erwachsenenpsychiatrie;Leistungen von Psychologen;35210211;211;20;27,77;Leistungen von Psychologen bis 20 Minuten wie oben
Erwachsenenpsychiatrie;Leistungen von Psychologen;35210212;212;40;55,54;Leistungen von Psychologen bis 40 Minuten wie oben
Erwachsenenpsychiatrie;Leistungen von Psychologen;35210213;213;60;83,32;Leistungen von Psychologen bis 60 Minuten wie oben
Erwachsenenpsychiatrie;Leistungen von Psychologen;35210214;214;90;124,94;Leistungen von Psychologen bis 90 Minuten wie oben, ohne Videosprechstunde (nur mit entsprechender Begründung sind längere Zeiten abrechenbar); die Abrechnung längerer Behandlungszeiten erfolgt mittels Geb.Nr. 210 – nur in Verbindung mit Geb.Nr. 214 ist eine Mehrfachabrechnung der Geb.Nr. 210 möglich
Erwachsenenpsychiatrie;Leistungen von Psychologen;35210230;230;10;13,89;Leistungen von Psychologen bis 10 Minuten für Leistungen im Rahmen einer Videosprechstunde
Erwachsenenpsychiatrie;Leistungen von Psychologen;35210231;231;20;27,77;Leistungen von Psychologen bis 20 Minuten für Leistungen im Rahmen einer Videosprechstunde
Erwachsenenpsychiatrie;Leistungen von Psychologen;35210232;232;40;55,54;Leistungen von Psychologen bis 40 Minuten für Leistungen im Rahmen einer Videosprechstunde
Erwachsenenpsychiatrie;Leistungen von Psychologen;35210233;233;60;83,32;Leistungen von Psychologen bis 60 Minuten für Leistungen im Rahmen einer Videosprechstunde
Erwachsenenpsychiatrie;Leistungen von Psychologen;35210234;234;90;124,94;Leistungen von Psychologen bis 90 Minuten für Leistungen im Rahmen einer Videosprechstunde
Erwachsenenpsychiatrie;Leistungen von Psychologen;35210243;243;60;23,80;Leistungen von Psychologen bis 60 Minuten für eine spezifische Behandlung/Betreuung in der Kleingruppe (bis zu fünf Patienten)
Erwachsenenpsychiatrie;Leistungen von Psychologen;35210244;244;90;35,71;Leistungen von Psychologen bis 90 Minuten wie oben (Kleingruppe)
Erwachsenenpsychiatrie;Leistungen von Psychologen;35210245;245;120;47,61;Leistungen von Psychologen bis 120 Minuten wie oben (Kleingruppe)
Erwachsenenpsychiatrie;Leistungen von Psychologen;35210253;253;60;11,92;Leistungen von Psychologen bis 60 Minuten für eine spezifische Behandlung/Betreuung in der Großgruppe (mehr als fünf Patienten, höchstens 12 Patienten)
Erwachsenenpsychiatrie;Leistungen von Psychologen;35210254;254;90;17,85;Leistungen von Psychologen bis 90 Minuten wie oben (Großgruppe)
Erwachsenenpsychiatrie;Leistungen von Psychologen;35210255;255;120;23,80;Leistungen von Psychologen bis 120 Minuten wie oben (Großgruppe)
Erwachsenenpsychiatrie;Leistungen von Psychologen;35210260;260;10;13,89;Fahrtzeit dazu bis 10 Minuten
Erwachsenenpsychiatrie;Leistungen von Psychologen;35210261;261;20;27,77;Fahrtzeit dazu bis 20 Minuten
Erwachsenenpsychiatrie;Leistungen von Psychologen;35210262;262;40;55,54;Fahrtzeit dazu bis 40 Minuten
Erwachsenenpsychiatrie;Leistungen von Psychologen;35210263;263;60;83,32;Fahrtzeit dazu bis 60 Minuten
Erwachsenenpsychiatrie;Leistungen von Psychologen;35210264;264;90;124,94;Fahrtzeit dazu bis 90 Minuten
Erwachsenenpsychiatrie;Leistungen v. Pflegepersonal;35210310;310;10;9,32;Leistungen von Pflegepersonal bis 10 Minuten für Leistungen der sozialpsychiatrischen Grundversorgung, Krisenintervention einschl. Notfallbehandlung, spezifische Einzelbehandlung/Betreuung
Erwachsenenpsychiatrie;Leistungen v. Pflegepersonal;35210311;311;20;18,63;Leistungen von Pflegepersonal bis 20 Minuten wie oben
Erwachsenenpsychiatrie;Leistungen v. Pflegepersonal;35210312;312;40;37,22;Leistungen von Pflegepersonal bis 40 Minuten wie oben
Erwachsenenpsychiatrie;Leistungen v. Pflegepersonal;35210313;313;60;55,86;Leistungen von Pflegepersonal bis 60 Minuten wie oben
Erwachsenenpsychiatrie;Leistungen v. Pflegepersonal;35210314;314;90;83,77;Leistungen von Pflegepersonal bis 90 Minuten wie oben
Erwachsenenpsychiatrie;Leistungen v. Pflegepersonal;35210315;315;120;111,66;Leistungen von Pflegepersonal bis 120 Minuten wie oben
Erwachsenenpsychiatrie;Leistungen v. Pflegepersonal;35210316;316;180;167,49;Leistungen von Pflegepersonal bis 180 Minuten wie oben (nur mit entsprechender Begründung sind längere Zeiten abrechenbar); die Abrechnung längerer Behandlungszeiten erfolgt mittels Geb.Nr. 310 – nur in Verbindung mit Geb.Nr. 316 ist eine Mehrfachabrechnung der Geb.Nr. 310 möglich
Erwachsenenpsychiatrie;Leistungen v. Pflegepersonal;35210343;343;60;15,98;Leistungen von Pflegepersonal bis 60 Minuten für eine spezifische Behandlung/Betreuung in der Kleingruppe (bis zu fünf Patienten)
Erwachsenenpsychiatrie;Leistungen v. Pflegepersonal;35210344;344;90;23,95;Leistungen von Pflegepersonal bis 90 Minuten wie oben (Kleingruppe)
